Site,Latitude,Longitude,RowcropPrp,CRPPrp,Native,RowcropTE,CRPTE,SHDI,StreamsDist,StreamDensity,LoamyTablePct2k,DaysActive3yr,LagObs,Richness3yr
262,37.94923597,-101.4132021,0.315830946,0.256017192,0.112750717,35220,18360,1.794020186,739.96372,58.86459,0.678039,68,0,1
263,39.18746191,-101.7713227,0.141762178,0,0.63230659,22680,0,1.74902271,509.232177,73.00491,0.091325,68,0,2
264,39.839979,-100.486814,0.341910974,0.003010537,0.289871694,58410,1440,1.93024473,417.359659,95.59088,0,68,6,3
265,39.625054,-100.039283,0.445448029,0.011827957,0.365304659,67470,2340,1.751051835,14.936762,125.8738,0,80,7,3
266,38.65711114,-100.220693,0.483396687,0.089005236,0.159363121,36660,10290,1.722687776,71.102348,101.408,0,81,6,3
267,39.388411,-101.241482,0.464439346,0.034341841,0.292228276,60480,5640,1.697315253,174.215284,56.86884,0.45972,54,20,4
268,38.510033,-99.603912,0.230190032,0.110648978,0.396916458,38640,19140,1.739003303,193.951829,92.56203,0,82,4,3
269,38.91654337,-100.7227292,0.167096774,0.096487455,0.470824373,27480,7200,1.766414208,199.83622,107.744,0.734231,40,0,2
270,37.95451549,-101.7326764,0.239782406,0.014243791,0.433326176,54930,5790,2.059773162,481.041263,72.54192,0,53,8,4
271,38.51067252,-99.9248747,0.246755109,0.246468268,0.22466834,38400,28740,1.94545591,98.601008,145.5095,0,68,26,3
272,39.334026,-101.074257,0.847692087,0,0.001863532,63420,0,0.9957901,570.247759,67.31023,0.885727,63,0,4
273,39.597003,-100.589705,0.453685116,0.084528248,0.321336393,60900,5940,1.79377535,595.486788,96.029,0.312272,66,0,4
274,38.804456,-99.774256,0.177710843,0.04632817,0.396156053,40350,14640,2.010738141,665.205385,119.3074,0,82,9,3
275,38.32184731,-101.1139177,0.434704702,0.139406537,0.259819381,42780,10140,1.730998604,191.498702,34.45558,0.551985,69,16,3
276,38.1908544,-101.4035068,0.367285499,0.12493728,0.090029389,42360,11280,1.754926373,1065.296067,25.13611,0.738002,80,0,3
277,38.96039816,-101.5426226,0.582223177,0.047987394,0.043403524,46920,6900,1.383655106,232.358445,67.1861,0.741823,65,0,3
278,37.89164653,-101.1854711,0.678200444,0.040905509,0.112114048,59880,3240,1.435468463,3461.96031,27.75586,0,65,0,2
279,38.823292,-100.080286,0.363323536,0.034267689,0.416087175,44100,7380,1.838572875,737.604541,117.9926,0.357606,78,1,4
280,37.83684563,-101.4138402,0.003439627,0,0.849301326,4920,0,1.441176603,1387.531222,43.9837,0,54,0,1
281,38.86267149,-100.3362982,0.321336392,0.329652997,0.19386292,34650,27120,1.794693633,155.241916,108.1073,0.833141,70,1,4
282,39.086094,-99.965097,0.349404506,0.035442675,0.529415985,32700,5280,1.685359087,340.466656,134.1295,0,70,3,4
283,39.560908,-101.974525,0.436582396,0.05622001,0.231898589,53190,14160,1.719082547,479.268521,49.88263,0.595367,82,27,5
284,39.23297,-100.243695,0.522238164,0.07733142,0.261836442,49440,9450,1.543051785,461.51966,94.49454,0.838484,80,0,4
285,39.00912622,-101.216489,0.266456558,0.003653033,0.400114605,37620,2040,1.73696562,630.413718,61.60883,0.654391,48,4,5
286,37.7728854,-101.5700768,0.433319009,0.151697465,0.165735568,36900,14940,1.728361121,297.022572,37.35876,0.615747,67,8,3
287,37.0078,-101.485978,0.515440281,0.340259368,0.020204915,59460,27420,1.489015323,14800.44922,0,0,68,0,2
288,38.91724694,-101.1298143,0.557864565,0.034897886,0.190039413,42210,13800,1.602060496,120.916562,92.14124,0.733779,79,1,5
289,37.801651,-100.239382,0.234463479,0.00387069,0.486918521,49590,1440,1.899275869,291.973266,66.93682,0,69,4,3
290,38.8398557,-100.7813652,0.187213303,0.1484375,0.545441514,20790,14520,1.850073555,148.719889,95.43951,0.324463,68,0,4
291,38.02463352,-101.9265813,0.169947741,0.084830697,0.263726837,56970,10680,2.151072398,71.09137,63.04119,0.021111,81,0,4
292,37.72270282,-101.7797735,0.633252184,0.066089073,0.016110554,42480,5760,1.370503293,2331.438839,39.408,0.924042,66,3,5
293,38.97116728,-101.2216876,0.682890115,0.001433589,0.143358899,35100,720,1.326357063,1162.989563,64.49377,0.896489,82,5,5
295,39.224779,-100.381713,0.458378146,0.034344303,0.242417724,52500,3900,1.708829847,123.262948,93.31931,0.822628,80,26,5
296,37.095433,-100.54691,0.315600803,0.124175509,0.356180098,61350,8160,1.923432955,1718.777117,76.68797,0,73,0,1
297,37.174138,-101.633509,0.21239255,0.151934097,0.277793697,27060,20520,2.010897308,3540.547332,16.95037,0,83,6,2
